,id,credits,cast_count,director
304,tm1049635,"[{'person_id': 241554, 'name': 'Nandamuri Taraka Ratna', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 1222219, 'name': 'Suresh Kondeti', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 134522, 'name': 'Mrudhula Basker', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 1783641, 'name': 'Narra Siva Nageswara Rao', 'character': 'Not Applicable', 'role': 'DIRECTOR'}]",3.0,Narra Siva Nageswara Rao
305,tm104977,"[{'person_id': 494434, 'name': 'Neil Flanagan', 'character': 'Father Guru', 'role': 'ACTOR'}, {'person_id': 786343, 'name': 'Jaqueline Webb', 'character': 'Olga', 'role': 'ACTOR'}, {'person_id': 786332, 'name': 'Judith Israel', 'character': 'Nadja', 'role': 'ACTOR'}, {'person_id': 786334, 'name': 'Jack Spencer', 'character': 'Igor', 'role': 'ACTOR'}, {'person_id': 534839, 'name': 'Frank Echols', 'character': 'Bishop Kopel', 'role': 'ACTOR'}, {'person_id': 534838, 'name': 'Gerald Jacuzzo', 'character': 'Father Polanski', 'role': 'ACTOR'}, {'person_id': 91736, 'name': 'Paul Lieber', 'character': 'Carl', 'role': 'ACTOR'}, {'person_id': 786333, 'name': 'Julia Wills', 'character': 'Christine', 'role': 'ACTOR'}, {'person_id': 786342, 'name': 'Myschka', 'character': 'Mara', 'role': 'ACTOR'}, {'person_id': 65193, 'name': 'Irving Metzman', 'character': 'Hans', 'role': 'ACTOR'}, {'person_id': 2076893, 'name': 'Jeffrey Isaacs', 'character': 'Altar Boy', 'role': 'ACTOR'}, {'person_id': 2077123, 'name': 'Roy Gordon', 'character': 'Altar Boy', 'role': 'ACTOR'}, {'person_id': 2076975, 'name': 'Stanley Herbert', 'character': 'Prison Guard', 'role': 'ACTOR'}, {'person_id': 2076994, 'name': 'Billy Hoffman', 'character': 'Prison Guard', 'role': 'ACTOR'}, {'person_id': 2076931, 'name': 'Tom Mullaney', 'character': 'Young Stranger', 'role': 'ACTOR'}, {'person_id': 2077118, 'name': 'Joe Pichette', 'character': 'Parishioner', 'role': 'ACTOR'}, {'person_id': 2076966, 'name': 'Joan Durant', 'character': 'Parishioner', 'role': 'ACTOR'}, {'person_id': 225259, 'name': 'Andy Milligan', 'character': 'Not Applicable', 'role': 'DIRECTOR'}]",17.0,Andy Milligan
306,tm1050015,"[{'person_id': 2138639, 'name': 'Djuan Artist', 'character': 'Tite', 'role': 'ACTOR'}, {'person_id': 2138897, 'name': 'Cassandra Ayers', 'character': 'Female Detective', 'role': 'ACTOR'}, {'person_id': 2138614, 'name': 'Antonette Brown', 'character': 'Rape Victim 3', 'role': 'ACTOR'}, {'person_id': 798802, 'name': 'Brandon Gomes', 'character': 'Nicky', 'role': 'ACTOR'}, {'person_id': 2138676, 'name': 'Tala Henderson', 'character': 'Riley Shorts News Reporter', 'role': 'ACTOR'}, {'person_id': 20423, 'name': 'Ashley Jones', 'character': 'Tina', 'role': 'ACTOR'}, {'person_id': 2138570, 'name': 'Brad Kortbawi', 'character': 'Male Detective', 'role': 'ACTOR'}, {'person_id': 2138523, 'name': 'Clinton Madison', 'character': 'Chris', 'role': 'ACTOR'}, {'person_id': 2138565, 'name': 'Andrea Mayboya', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 2138514, 'name': 'Lolita McCray', 'character': 'Rape Victim 2', 'role': 'ACTOR'}, {'person_id': 2138797, 'name': 'Jerry Murry', 'character': 'Old Man in Park', 'role': 'ACTOR'}, {'person_id': 2138686, 'name': 'Nicole Reese', 'character': 'Karen', 'role': 'ACTOR'}, {'person_id': 2138854, 'name': 'Bowen Sims', 'character': 'NewsCamera Man', 'role': 'ACTOR'}, {'person_id': 2138913, 'name': 'Skye Williams', 'character': 'Young girl', 'role': 'ACTOR'}, {'person_id': 2138788, 'name': 'Anthony Rolando Brown', 'character': 'Not Applicable', 'role': 'DIRECTOR'}]",14.0,Anthony Rolando Brown
307,tm1050139,"[{'person_id': 2014913, 'name': 'Robin Antoinette', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 2014950, 'name': 'Meki Mac', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 234202, 'name': 'Jaan Marion', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 1986440, 'name': 'Scott Oakley', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 2116110, 'name': 'Jerard McKinzie', 'character': 'Not Applicable', 'role': 'DIRECTOR'}]",4.0,Jerard McKinzie
308,tm105079,"[{'person_id': 57832, 'name': 'John Payne', 'character': 'Barbarossa', 'role': 'ACTOR'}, {'person_id': 26190, 'name': 'Donna Reed', 'character': 'Alida', 'role': 'ACTOR'}, {'person_id': 49131, 'name': 'Gerald Mohr', 'character': 'Captain Jose Salcedo', 'role': 'ACTOR'}, {'person_id': 60481, 'name': 'Lon Chaney Jr.', 'character': 'Peg Leg (as Lon Chaney)', 'role': 'ACTOR'}, {'person_id': 74933, 'name': 'Anthony Caruso', 'character': 'Captain Goiti', 'role': 'ACTOR'}, {'person_id': 36501, 'name': 'Henry Brandon', 'character': 'Captain Goiti', 'role': 'ACTOR'}, {'person_id': 562343, 'name': 'Suzanne Alexander', 'character': ""Alida's Handmaiden"", 'role': 'ACTOR'}, {'person_id': 153747, 'name': 'Sidney Salkow', 'character': 'Not Applicable', 'role': 'DIRECTOR'}]",7.0,Sidney Salkow
309,tm105139,"[{'person_id': 54401, 'name': 'Gary Cooper', 'character': 'Mr. Morgan', 'role': 'ACTOR'}, {'person_id': 59268, 'name': 'Barry Jones', 'character': 'Pastor Corbett', 'role': 'ACTOR'}, {'person_id': 73808, 'name': 'Roberta Haynes', 'character': 'Maeva', 'role': 'ACTOR'}, {'person_id': 547613, 'name': 'Moira Walker', 'character': 'Turia', 'role': 'ACTOR'}, {'person_id': 99771, 'name': 'John Hudson', 'character': 'Captain Harry Faber', 'role': 'ACTOR'}, {'person_id': 547614, 'name': 'Mamea Matatumua', 'character': 'Tonga (as Chief Mamea Matatumua)', 'role': 'ACTOR'}, {'person_id': 547615, 'name': 'Hans Kruse', 'character': 'Rori at age 21', 'role': 'ACTOR'}, {'person_id': 566831, 'name': 'Maylia', 'character': ""Maeva's Aunt"", 'role': 'ACTOR'}, {'person_id': 58668, 'name': 'Mark Robson', 'character': 'Not Applicable', 'role': 'DIRECTOR'}]",8.0,Mark Robson
310,tm105142,"[{'person_id': 12836, 'name': 'Shawn Wayans', 'character': 'Ashtray', 'role': 'ACTOR'}, {'person_id': 12202, 'name': 'Marlon Wayans', 'character': 'Loc Dog', 'role': 'ACTOR'}, {'person_id': 36935, 'name': 'Tracey Cherelle Jones', 'character': 'Dashiki', 'role': 'ACTOR'}, {'person_id': 26635, 'name': 'Chris Spencer', 'character': 'Preach', 'role': 'ACTOR'}, {'person_id': 4702, 'name': 'Vivica A. Fox', 'character': ""Ashtray's Mother"", 'role': 'ACTOR'}, {'person_id': 36936, 'name': ""Rappin' Granny"", 'character': 'Sister Williams', 'role': 'ACTOR'}, {'person_id': 36937, 'name': 'Suli McCullough', 'character': 'Crazy Legs', 'role': 'ACTOR'}, {'person_id': 6307, 'name': 'Bernie Mac', 'character': 'Officer Self Hatred', 'role': 'ACTOR'}, {'person_id': 16426, 'name': 'Faizon Love', 'character': 'Rufus', 'role': 'ACTOR'}, {'person_id': 12837, 'name': 'Keenen Ivory Wayans', 'character': 'Mailman', 'role': 'ACTOR'}, {'person_id': 96503, 'name': 'Kim Wayans', 'character': 'Mrs. Johnson', 'role': 'ACTOR'}, {'person_id': 24028, 'name': 'Helen Martin', 'character': ""Loc Dog's Grandma"", 'role': 'ACTOR'}, {'person_id': 126138, 'name': 'Virginia Watson', 'character': ""Loc Dog's Mom"", 'role': 'ACTOR'}, {'person_id': 126085, 'name': 'Darrel Heath', 'character': 'Toothpick', 'role': 'ACTOR'}, {'person_id': 918, 'name': 'Omar Epps', 'character': 'Malik', 'role': 'ACTOR'}, {'person_id': 1691638, 'name': 'Leonette Scott', 'character': 'Flashback Girl', 'role': 'ACTOR'}, {'person_id': 271673, 'name': 'Yvette Wilson', 'character': 'Nurse', 'role': 'ACTOR'}, {'person_id': 36938, 'name': 'Paris Barclay', 'character': 'Not Applicable', 'role': 'DIRECTOR'}]",17.0,Paris Barclay
311,tm105196,"[{'person_id': 7548, 'name': ""Peter O'Toole"", 'character': 'Lord Foxley', 'role': 'ACTOR'}, {'person_id': 14478, 'name': 'Alicia Silverstone', 'character': 'Nat', 'role': 'ACTOR'}, {'person_id': 18627, 'name': 'Joan Plowright', 'character': 'Lady Foxley', 'role': 'ACTOR'}, {'person_id': 172493, 'name': 'Jaimz Woolvett', 'character': 'Leo', 'role': 'ACTOR'}, {'person_id': 17483, 'name': 'Keram Malicki-Sánchez', 'character': 'Flit', 'role': 'ACTOR'}, {'person_id': 101883, 'name': 'Christopher Bolton', 'character': 'Carl', 'role': 'ACTOR'}, {'person_id': 12843, 'name': 'Lochlyn Munro', 'character': 'Dave', 'role': 'ACTOR'}, {'person_id': 55923, 'name': 'Martin Clunes', 'character': 'James Chancellor', 'role': 'ACTOR'}, {'person_id': 388440, 'name': 'Amy Phillips', 'character': 'Georgia', 'role': 'ACTOR'}, {'person_id': 195362, 'name': 'Alex Karzis', 'character': 'Ben', 'role': 'ACTOR'}, {'person_id': 72615, 'name': 'Carlo Rota', 'character': 'Tony Manson', 'role': 'ACTOR'}, {'person_id': 43088, 'name': 'Daniel Fathers', 'character': 'Male Reporter / Journalist #1', 'role': 'ACTOR'}, {'person_id': 501672, 'name': 'Helen Beavis', 'character': 'Margaret', 'role': 'ACTOR'}, {'person_id': 57505, 'name': 'Sidney J. Furie', 'character': 'Not Applicable', 'role': 'DIRECTOR'}]",13.0,Sidney J. Furie
312,tm105223,"[{'person_id': 138534, 'name': 'Will Rogers', 'character': ""Judge William Pitman 'Billy' Priest"", 'role': 'ACTOR'}, {'person_id': 134195, 'name': 'Tom Brown', 'character': 'Jerome Priest', 'role': 'ACTOR'}, {'person_id': 134197, 'name': 'Anita Louise', 'character': 'Ellie May Gillespie', 'role': 'ACTOR'}, {'person_id': 70367, 'name': 'Henry B. Walthall', 'character': 'Reverend Ashby Brand', 'role': 'ACTOR'}, {'person_id': 578057, 'name': 'David Landau', 'character': 'Bob Gillis', 'role': 'ACTOR'}, {'person_id': 64571, 'name': 'Rochelle Hudson', 'character': 'Virginia Maydew', 'role': 'ACTOR'}, {'person_id': 41668, 'name': 'Roger Imhof', 'character': 'Billy Gaynor', 'role': 'ACTOR'}, {'person_id': 153324, 'name': 'Frank Melton', 'character': 'Fleming ""Flem"" Talley', 'role': 'ACTOR'}, {'person_id': 41661, 'name': 'Charley Grapewin', 'character': 'Sergeant Jimmy Bagby', 'role': 'ACTOR'}, {'person_id': 71548, 'name': 'Berton Churchill', 'character': 'Senator Horace Maydew', 'role': 'ACTOR'}, {'person_id': 57389, 'name': 'Brenda Fowler', 'character': 'Mrs. Caroline Priest', 'role': 'ACTOR'}, {'person_id': 22006, 'name': 'Francis Ford', 'character': 'Juror No. 12', 'role': 'ACTOR'}, {'person_id': 13310, 'name': 'Hattie McDaniel', 'character': 'Aunt Dilsey', 'role': 'ACTOR'}, {'person_id': 151234, 'name': 'Stepin Fetchit', 'character': 'Jeff Poindexter', 'role': 'ACTOR'}, {'person_id': 25637, 'name': 'John Ford', 'character': 'Not Applicable', 'role': 'DIRECTOR'}]",14.0,John Ford
313,tm1052452,"[{'person_id': 263323, 'name': 'Saraí Meza', 'character': 'Lollipop', 'role': 'ACTOR'}, {'person_id': 871985, 'name': 'Ana Carolina Grajales', 'character': 'Danae', 'role': 'ACTOR'}, {'person_id': 729507, 'name': 'Pablo Azar', 'character': 'Marco', 'role': 'ACTOR'}, {'person_id': 931494, 'name': 'Gabriel Tarantini', 'character': 'Miguel Angel', 'role': 'ACTOR'}, {'person_id': 2098474, 'name': 'Oscar Graterol', 'character': 'Oscar', 'role': 'ACTOR'}, {'person_id': 500109, 'name': 'Anna Silvetti', 'character': 'Doctora Elizabeth', 'role': 'ACTOR'}, {'person_id': 2253911, 'name': 'Oren Stambouli', 'character': 'Not Applicable', 'role': 'DIRECTOR'}]",6.0,Oren Stambouli
314,tm1053243,"[{'person_id': 920530, 'name': 'Tere Gonzales', 'character': 'Moira', 'role': 'ACTOR'}, {'person_id': 2173873, 'name': 'Vic Trio', 'character': 'Fr. Philip', 'role': 'ACTOR'}, {'person_id': 2173859, 'name': 'Odette Leyba', 'character': 'Lani', 'role': 'ACTOR'}, {'person_id': 2173862, 'name': 'Babes Bunag', 'character': 'Lola', 'role': 'ACTOR'}, {'person_id': 2173449, 'name': 'Rico Equiron', 'character': 'Ray', 'role': 'ACTOR'}, {'person_id': 2173848, 'name': 'Kyle Thomas David', 'character': 'Anthony', 'role': 'ACTOR'}, {'person_id': 2173849, 'name': 'Mia Stephanie Natividad', 'character': 'Val', 'role': 'ACTOR'}, {'person_id': 2173808, 'name': 'Iloifer Suan', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 2173431, 'name': 'Ruel Anoche', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 1273008, 'name': 'Andi Kunz', 'character': 'Doctor', 'role': 'ACTOR'}, {'person_id': 2173503, 'name': 'Arbee Beltran', 'character': 'Nurse', 'role': 'ACTOR'}, {'person_id': 2173824, 'name': 'Emily Lovino', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 2173825, 'name': 'Jayvee Kang Margaja', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 2173825, 'name': 'Jayvee Kang Margaja', 'character': 'Not Applicable', 'role': 'DIRECTOR'}]",13.0,Jayvee Kang Margaja
315,tm105329,"[{'person_id': 2718, 'name': 'Tom Hanks', 'character': 'Michael Sullivan', 'role': 'ACTOR'}, {'person_id': 15032, 'name': 'Paul Newman', 'character': 'John Rooney', 'role': 'ACTOR'}, {'person_id': 4517, 'name': 'Jude Law', 'character': 'Harlen Maguire', 'role': 'ACTOR'}, {'person_id': 2250, 'name': 'Jennifer Jason Leigh', 'character': 'Annie Sullivan', 'role': 'ACTOR'}, {'person_id': 1764, 'name': 'Stanley Tucci', 'character': 'Frank Nitti', 'role': 'ACTOR'}, {'person_id': 4963, 'name': 'Daniel Craig', 'character': 'Connor Rooney', 'role': 'ACTOR'}, {'person_id': 10645, 'name': 'Tyler Hoechlin', 'character': 'Michael Sullivan, Jr.', 'role': 'ACTOR'}, {'person_id': 15881, 'name': 'Liam Aiken', 'character': 'Peter Sullivan', 'role': 'ACTOR'}, {'person_id': 6565, 'name': 'Dylan Baker', 'character': 'Alexander Rance', 'role': 'ACTOR'}, {'person_id': 230, 'name': 'Ciarán Hinds', 'character': 'Finn McGovern', 'role': 'ACTOR'}, {'person_id': 10751, 'name': 'David Darlow', 'character': 'Jack Kelly', 'role': 'ACTOR'}, {'person_id': 10042, 'name': 'Kevin Chamberlin', 'character': 'Frank the Bouncer', 'role': 'ACTOR'}, {'person_id': 17732, 'name': 'Doug Spinuzza', 'character': 'Calvino', 'role': 'ACTOR'}, {'person_id': 17733, 'name': 'Kurt Naebig', 'character': 'Tenement Murderer', 'role': 'ACTOR'}, {'person_id': 17734, 'name': 'Duane Sharp', 'character': 'Father Callaway', 'role': 'ACTOR'}, {'person_id': 9297, 'name': 'Michael Sassone', 'character': 'Motel Manager', 'role': 'ACTOR'}, {'person_id': 17735, 'name': 'Roderick Peeples', 'character': ""Nitti's Henchman"", 'role': 'ACTOR'}, {'person_id': 15077, 'name': 'Keith Kupferer', 'character': ""Nitti's Henchman"", 'role': 'ACTOR'}, {'person_id': 17736, 'name': 'Lara Phillips', 'character': 'Ruby the Waitress', 'role': 'ACTOR'}, {'person_id': 17737, 'name': 'Mina Badie', 'character': 'Betty the Waitress', 'role': 'ACTOR'}, {'person_id': 17738, 'name': 'Heidi Jayne Netzley', 'character': 'Prostitute', 'role': 'ACTOR'}, {'person_id': 17739, 'name': 'Lance Baker', 'character': 'Crime Scene Policeman', 'role': 'ACTOR'}, {'person_id': 17740, 'name': 'Nicolas Cade', 'character': 'Boy Michael Fights', 'role': 'ACTOR'}, {'person_id': 113690, 'name': 'John Judd', 'character': ""Rooney's Business Associate"", 'role': 'ACTOR'}, {'person_id': 23688, 'name': 'Kerry Rossall', 'character': ""Rooney's Henchman"", 'role': 'ACTOR'}, {'person_id': 220169, 'name': 'Ian Barford', 'character': ""Rooney's Henchman"", 'role': 'ACTOR'}, {'person_id': 941069, 'name': 'Rob Maxey', 'character': 'Drug Store Owner', 'role': 'ACTOR'}, {'person_id': 196715, 'name': 'Maureen Gallagher', 'character': ""Michael's Teacher"", 'role': 'ACTOR'}, {'person_id': 134787, 'name': 'Diane Dorsey', 'character': 'Aunt Sarah', 'role': 'ACTOR'}, {'person_id': 7257, 'name': 'Harry Groener', 'character': 'Mr. McDougal', 'role': 'ACTOR'}, {'person_id': 15065, 'name': 'Peggy Roeder', 'character': 'Farmer Virginia', 'role': 'ACTOR'}, {'person_id': 7254, 'name': 'James Greene', 'character': 'Farmer Bill', 'role': 'ACTOR'}, {'person_id': 13526, 'name': 'Anthony LaPaglia', 'character': 'Al Capone (uncredited)', 'role': 'ACTOR'}, {'person_id': 1523964, 'name': 'Paul Turner', 'character': ""Finn McGovern's Henchman"", 'role': 'ACTOR'}, {'person_id': 17741, 'name': 'Sam Mendes', 'character': 'Not Applicable', 'role': 'DIRECTOR'}]",34.0,Sam Mendes
316,tm105330,"[{'person_id': 55476, 'name': 'Hrithik Roshan', 'character': 'Raj Khanna', 'role': 'ACTOR'}, {'person_id': 45227, 'name': 'Rani Mukerji', 'character': 'Pooja Sahani', 'role': 'ACTOR'}, {'person_id': 48004, 'name': 'Kareena Kapoor Khan', 'character': 'Tina Kapoor', 'role': 'ACTOR'}, {'person_id': 62780, 'name': 'Satish Shah', 'character': 'Mr. Sahani', 'role': 'ACTOR'}, {'person_id': 63306, 'name': 'Himani Shivpuri', 'character': 'Mrs. Sahani', 'role': 'ACTOR'}, {'person_id': 291826, 'name': 'Kiran Kumar', 'character': 'Mr. Khanna', 'role': 'ACTOR'}, {'person_id': 65833, 'name': 'Smita Jaykar', 'character': 'Mrs. Khanna', 'role': 'ACTOR'}, {'person_id': 61588, 'name': 'Sachin Khedekar', 'character': 'Mr. Kapoor', 'role': 'ACTOR'}, {'person_id': 36899, 'name': 'Uday Chopra', 'character': 'Rohan Verma', 'role': 'ACTOR'}, {'person_id': 67322, 'name': 'Parikshat Sahni', 'character': 'Mr. Verma', 'role': 'ACTOR'}, {'person_id': 409970, 'name': 'Maya Alagh', 'character': 'Mrs. Verma', 'role': 'ACTOR'}, {'person_id': 972422, 'name': 'Barkha Singh', 'character': 'Young Tina Kapoor', 'role': 'ACTOR'}, {'person_id': 62785, 'name': 'Kunal Kohli', 'character': 'Not Applicable', 'role': 'DIRECTOR'}]",12.0,Kunal Kohli
317,tm1053305,"[{'person_id': 2367294, 'name': 'Arul', 'character': 'Arul', 'role': 'ACTOR'}, {'person_id': 2367195, 'name': 'Akila Narayanan', 'character': 'Rudra', 'role': 'ACTOR'}, {'person_id': 2367335, 'name': 'Kaashima Rafi', 'character': 'Jency', 'role': 'ACTOR'}, {'person_id': 2367294, 'name': 'Arul', 'character': 'Not Applicable', 'role': 'DIRECTOR'}]",3.0,Arul
318,tm105332,"[{'person_id': 360042, 'name': 'Danny Bhoy', 'character': 'Himself', 'role': 'ACTOR'}]",1.0,
319,tm105356,"[{'person_id': 7375, 'name': 'Clifton Collins Jr.', 'character': 'Raymo Serrano', 'role': 'ACTOR'}, {'person_id': 22027, 'name': 'Greg Serano', 'character': 'Alfonso Carrasco', 'role': 'ACTOR'}, {'person_id': 9702, 'name': 'Jacob Vargas', 'character': 'Danny Pacheco', 'role': 'ACTOR'}, {'person_id': 23741, 'name': 'Lobo Sebastian', 'character': 'Gramps', 'role': 'ACTOR'}, {'person_id': 277880, 'name': 'Priscilla Garita', 'character': 'Lucy', 'role': 'ACTOR'}, {'person_id': 428718, 'name': 'Danny De La Paz', 'character': 'Torneo', 'role': 'ACTOR'}, {'person_id': 6380, 'name': 'Emilio Rivera', 'character': 'Big Joe', 'role': 'ACTOR'}, {'person_id': 220331, 'name': 'Rudy Ramos', 'character': 'Canto', 'role': 'ACTOR'}, {'person_id': 59602, 'name': 'Jenny Gago', 'character': 'Ana Carrasco', 'role': 'ACTOR'}, {'person_id': 11580, 'name': 'Yelba Osorio', 'character': 'Chespi', 'role': 'ACTOR'}, {'person_id': 103470, 'name': 'Ruben Moreno', 'character': 'Abuelito', 'role': 'ACTOR'}, {'person_id': 428719, 'name': 'Pete Leal', 'character': 'Mr. Ochoa', 'role': 'ACTOR'}, {'person_id': 36533, 'name': 'Mike Gomez', 'character': 'Antonio Carrasco', 'role': 'ACTOR'}, {'person_id': 47107, 'name': 'James Dalesandro', 'character': ""Chespi's Father"", 'role': 'ACTOR'}, {'person_id': 66569, 'name': 'Roberto Enríquez', 'character': 'Omar', 'role': 'ACTOR'}, {'person_id': 381910, 'name': 'Emiliano Torres', 'character': 'Thug', 'role': 'ACTOR'}, {'person_id': 428720, 'name': 'Gary Cruz', 'character': 'Actor (uncredited)', 'role': 'ACTOR'}, {'person_id': 595489, 'name': 'Noel Gugliemi', 'character': '(uncredited)', 'role': 'ACTOR'}, {'person_id': 293556, 'name': 'Alfredo Ramos', 'character': 'Not Applicable', 'role': 'DIRECTOR'}]",18.0,Alfredo Ramos
320,tm1053560,"[{'person_id': 267592, 'name': 'Swetaa Varma', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 1947572, 'name': 'Sri Krishna', 'character': 'Not Applicable', 'role': 'DIRECTOR'}, {'person_id': 1947401, 'name': 'Rama Sai', 'character': 'Not Applicable', 'role': 'DIRECTOR'}]",1.0,"Sri Krishna, Rama Sai"
321,tm105398,"[{'person_id': 66799, 'name': 'Vijay', 'character': 'Selva', 'role': 'ACTOR'}, {'person_id': 190376, 'name': 'Swathi', 'character': 'Sumathi', 'role': 'ACTOR'}, {'person_id': 135399, 'name': 'Raghuvaran', 'character': 'Varatharajan', 'role': 'ACTOR'}, {'person_id': 146561, 'name': 'Manivannan', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 136378, 'name': 'Senthil', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 139311, 'name': 'A. Venkatesh', 'character': 'Not Applicable', 'role': 'DIRECTOR'}]",5.0,A. Venkatesh
322,tm1054079,"[{'person_id': 1512097, 'name': 'Karthik Rathnam', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 162092, 'name': 'Naveen Chandra', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 157541, 'name': 'Subhalekha Sudhakar', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 183833, 'name': 'Pavitra Lokesh', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 1007486, 'name': 'Suhas', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 1951459, 'name': 'Rawindra Pulle', 'character': 'Not Applicable', 'role': 'DIRECTOR'}]",5.0,Rawindra Pulle
323,tm1054116,"[{'person_id': 1938589, 'name': 'Sangam Shukla', 'character': 'Madhav', 'role': 'ACTOR'}, {'person_id': 1938565, 'name': 'Vijay Thakur', 'character': 'Sanjay Thakur', 'role': 'ACTOR'}, {'person_id': 728899, 'name': 'Vanya Wellens', 'character': 'Budhiya', 'role': 'ACTOR'}, {'person_id': 1938620, 'name': 'Vishwa Bhanu', 'character': 'Gissu', 'role': 'ACTOR'}, {'person_id': 1938620, 'name': 'Vishwa Bhanu', 'character': 'Not Applicable', 'role': 'DIRECTOR'}]",4.0,Vishwa Bhanu
324,tm1054502,"[{'person_id': 2228038, 'name': 'Aaleyah Abron', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 2227925, 'name': 'Latoya Abron', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 2227801, 'name': 'Vee Amor', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 2227919, 'name': 'Ant The Barber', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 2227651, 'name': 'Shanika Barber', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 2227960, 'name': 'Valencia Christina', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 1820586, 'name': 'Navv Greene', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 428243, 'name': 'Nema Williams', 'character': 'Not Applicable', 'role': 'ACTOR'}, {'person_id': 1537199, 'name': 'Puncho Villashio', 'character': 'Not Applicable', 'role': 'DIRECTOR'}, {'person_id': 2227687, 'name': 'Chinedu Ernesto', 'character': 'Not Applicable', 'role': 'DIRECTOR'}]",8.0,"Puncho Villashio, Chinedu Ernesto"
